"user";"booking_date";"origin_airport";"price";"sales channel";"ant"
"user5";2018-11-01;"MAD";58.2000007629;"online";7
"user7";2018-11-01;"DUB";147.5;"online";38
"user4";2018-11-02;"TFS";24.0499992371;"online";19
"user8";2018-10-29;"MAD";59.7099990845;"online";8
"user7";2018-11-01;"LPA";37.2999992371;"call center";4
"user1";2018-11-01;"AMS";149.740005493;"travel agency";63
"user1";2018-11-01;"MAD";19.9500007629;"online";22
"user6";2018-10-30;"MAD";26.1399993896;"online";21
"user3";2018-11-01;"LPA";22.5200004578;"online";33
"user9";2018-11-01;"MAD";28.5599994659;"online";4
"user4";2018-11-01;"PMI";31.5100002289;"online";44
"user10";2018-11-01;"MAD";81.0500030518;"online";19
"user5";2018-10-31;"STR";49.3699989319;"online";38
"user3";2018-11-01;"GRU";18.9799995422;"travel agency";2
"user3";2018-10-31;"AMS";50.3100013733;"online";52
"user3";2018-11-01;"PMI";41.4500007629;"online";8
"user9";2018-11-01;"FUE";128.240005493;"travel agency";48
"user3";2018-10-29;"MAD";31.9799995422;"online";9
"user3";2018-11-01;"DUB";83.1500015259;"online";12
"user9";2018-11-01;"PMI";81.5922616998235;"online";4
"user1";2018-10-31;"CPH";60.4799995422;"online";16
"user3";2018-11-01;"ALC";140.029998779;"travel agency";4
"user3";2018-11-01;"VGO";54.8400001526;"online";29
"user9";2018-11-01;"MAD";35.0699996948;"online";9
"user10";2018-10-29;"TFN";49.7200012207;"online";3
"user2";2018-11-01;"MAD";12.4499998093;"online";27
"user4";2018-11-01;"LYS";60.9000015259;"online";1
"user6";2018-10-29;"MAD";48.9399986267;"online";4
"user7";2018-11-01;"MAD";39.3300018311;"online";10
"user6";2018-10-30;"MAD";20.8899993896;"travel agency";43
"user10";2018-11-01;"MAD";310.619995117;"online";5
"user4";2018-11-01;"NAP";131.160003662;"online";45
"user8";2018-10-29;"MAD";86.6600036621;"travel agency";6
"user1";2018-11-01;"VGO";109.010002136;"online";73
"user7";2018-11-01;"MAD";46.9900016785;"online";4
"user5";2018-11-02;"MAD";41.5400009155;"online";13
"user7";2018-10-29;"MAD";53.7700004578;"travel agency";20
"user1";2018-11-01;"SCQ";60.8499984741;"travel agency";51
"user10";2018-11-01;"MAD";73.5;"travel agency";3
"user8";2018-11-01;"MAD";109.709999084;"online";3
"user7";2018-11-01;"NTE";155.240005493;"call center";45
"user3";2018-10-31;"MAD";78.5100021362;"travel agency";15
"user1";2018-11-01;"MAD";211.229995728;"travel agency";1
"user1";2018-11-01;"MAD";60;"travel agency";7
"user6";2018-11-01;"MAD";46.0999984741;"online";22
