Country,continent,unemp,expense,gdpgrowth,taxrev,inflation,popgrowth
Albania,5,15.22,23.91,3.35,17.56,1.28,-0.16
Argentina,2,,26.31,-1.82,12.16,,0.98
Australia,4,5.71,26.96,2.83,22.29,1.28,1.50
Austria,5,6.01,45.57,1.45,25.67,0.89,1.08
Azerbaijan,5,5.00,,-3.10,,12.45,1.12
Bangladesh,3,4.35,9.42,7.11,8.77,5.43,1.08
Barbados,2,9.72,,2.00,,1.28,0.27
Bhutan,3,,16.62,7.99,13.16,4.31,1.31
Bolivia,2,3.06,,4.26,,3.63,1.51
Brazil,2,11.61,36.28,-3.47,12.85,8.74,0.82
Bulgaria,5,7.57,32.36,3.94,20.04,-0.80,-0.70
Burundi,1,,,-0.57,,5.56,3.14
Canada,2,7.00,17.34,1.41,12.18,1.43,1.20
Chile,2,6.74,22.20,1.27,17.42,3.79,0.82
Colombia,2,8.69,30.21,2.04,13.33,7.51,0.88
Croatia,5,13.10,,3.17,,-1.13,-0.70
Czech Republic,5,3.95,32.94,2.59,14.66,0.68,0.19
Denmark,5,6.18,39.23,1.96,33.74,0.25,0.78
Dominican Republic,2,,16.89,6.61,13.51,1.59,1.14
Ecuador,2,4.60,,-1.58,,1.73,1.48
Egypt,1,12.41,,4.35,,13.81,2.02
El Salvador,2,4.42,23.48,2.58,17.56,0.60,0.51
Estonia,5,6.76,2.38,2.06,1.43,0.15,0.03
Fiji,4,4.32,,0.38,,3.86,0.74
Finland,5,8.82,39.92,2.14,21.00,0.36,0.29
France,5,10.06,48.25,1.19,23.15,0.18,0.40
Georgia,3,11.76,25.69,2.85,23.47,2.13,0.06
Germany,5,4.12,27.86,1.94,11.24,0.48,0.81
Greece,5,23.54,48.83,-0.24,26.70,-0.83,-0.42
Guatemala,2,2.83,11.84,3.09,10.39,4.45,2.01
Honduras,2,4.67,,3.75,,2.72,1.68
Hungary,5,5.11,43.88,2.21,23.35,0.39,-0.30
Iceland,5,,,7.48,38.52,1.70,1.39
Indonesia,3,4.30,14.87,5.03,10.33,3.53,1.14
Islamic Rep Iran,3,12.43,,13.40,,8.58,1.15
Iraq,3,,25.80,11.00,2.02,0.53,2.97
Ireland,5,8.37,25.12,5.14,18.78,0.01,1.13
Italy,5,11.69,42.30,0.86,23.66,-0.09,-0.17
Jamaica,2,13.19,26.24,1.37,26.06,2.35,0.33
Kazakhstan,3,4.96,15.73,1.10,9.92,14.36,1.42
Republica Korea,3,3.70,24.92,2.93,14.83,0.97,0.45
Kosovo,5,27.47,,4.07,,0.30,0.80
Kuwait,3,,,3.55,,3.20,2.92
Latvia,5,9.64,42.91,2.21,23.88,0.14,-0.91
Lithuania,5,7.86,9.50,2.34,4.93,0.91,-1.27
Luxembourg,5,6.29,39.16,3.08,25.74,0.29,2.16
Madagascar,1,,,4.18,,6.65,2.69
Malaysia,3,3.44,17.03,4.22,13.77,2.09,1.50
Malta,5,,36.23,5.23,26.24,0.64,2.29
Mauritius,1,6.81,23.75,3.80,18.13,0.98,0.07
Mexico,2,3.86,20.99,2.91,13.55,2.82,1.30
Moldova,5,4.18,31.33,4.50,19.30,6.36,-0.06
Monaco,5,6.33,,,,,0.50
Namibia,1,23.35,33.56,0.70,28.53,6.73,2.21
Netherlands,5,,39.03,2.21,22.18,0.32,0.53
New Zealand,4,5.10,30.84,3.47,27.19,0.65,2.10
Nigeria,1,7.06,,-1.62,,15.68,2.62
Norway,5,4.68,39.62,1.09,21.99,3.55,0.85
Pakistan,3,,,5.53,,3.77,2.00
Panama,2,3.31,,4.99,,0.74,1.62
Paraguay,2,,20.29,4.02,12.58,4.09,1.29
Philippines,4,2.71,14.04,6.88,13.68,1.25,1.56
Poland,5,6.16,34.87,2.86,16.20,-0.66,-0.04
Portugal,5,11.07,41.43,1.62,22.53,0.61,-0.32
Romania,5,5.90,31.29,4.82,16.81,-1.54,-0.57
Saudi Arabia,3,5.65,,1.67,,3.49,2.25
Seychelles,3,3.96,33.33,4.50,31.67,-1.02,1.34
Singapore,3,1.80,14.88,2.40,13.71,-0.53,1.30
Slovenia,5,8.00,40.28,3.15,18.56,-0.05,0.07
Spain,5,19.63,19.70,3.27,13.85,-0.20,0.08
Sri Lanka,3,4.37,16.85,4.47,12.29,3.96,1.12
Sweden,5,6.99,31.35,3.23,27.65,0.98,1.26
Switzerland,5,4.92,17.44,1.38,9.77,-0.43,1.09
Tunisia,1,15.51,,1.11,,3.71,1.14
Turkey,3,10.84,32.72,3.18,18.32,7.78,1.57
United Arab Emirates,3,1.64,4.47,2.99,0.04,1.62,1.25
United Kingdom,5,4.81,37.30,1.94,25.60,0.64,0.71
Uruguay,2,7.84,38.43,1.69,23.71,9.64,0.36
Vietnam,3,1.85,,6.21,,3.24,1.06
South Africa,1,26.55,34.45,0.57,27.10,6.59,1.30
